sort_number,site,Genus_species,Family,growthform,height,Country,Site,lat,long,entered.by,alt,temp,isotherm,rain,LAI,NPP,hemisphere
19395,140,Mallotus_japonicus,Euphorbiaceae,Tree,9.67,Japan,NA,30.333,130.4,Angela,530,18.2,2.8,3042,4.26,1335,1
19849,64,Melochia_longepetiolata,Malvaceae,Tree,8,Fiji,k,18.967,178.283,Laura,72,24.1,5.9,2314,4.51,1864,-1
11723,53,Eremophila_forrestii,Scrophulariaceae,Shrub,2,Australia,WA,24.65,113.7,Angela,7,22.3,4.6,216,1.51,464,-1
18175,26,Leucadendron_sp,Proteaceae,Shrub,0.6,South Africa,Stellenbosch - fynbos,33.992,18.975,Angela,387,15.7,5.3,1052,2.01,517,-1
14954,18,Hakea_rostrata,Proteaceae,Shrub,1.7,Australia,NA,36.917,142.417,Angela,366,13,4.9,723,2.26,698,-1
32697,38,Adenanthos_cygnorum,Proteaceae,Tree,7,Australia,Perth - Melaleuca Park,31.689,115.886,Angela,60,18.3,4.9,762,1.51,575,-1
6851,222,Cassiope_tetragona,Ericaceae,Shrub,0.08,Greenland,Zackenberg - hill,74.476,-20.629,Angela,83,-11.1,2.1,252,2.6,4,1
30345,156,Thalictrum_thalictroides,Ranunculaceae,Herb,0.2,USA,"Duke Forest, Durham, NC",35.967,-79,Angela,99,14.9,3.9,1150,3.26,1274,1
26673,209,Rumex_acetosa,Polygonaceae,Herb,0.707,Finland,NA,62,27,Angela,114,3.4,2.1,637,2.76,477,1
6787,137,Casimiroa_greggii,Rutaceae,Shrub,7,Mexico,Linares - Puenta Viejo,24.749,-99.799,Angela,736,20.7,5.5,703,2.26,844,1
4175,10,Baccharis_divaricata,Asteraceae,Shrub,0.5,Argentina,Puerto Madryn - dune,42.769,-64.101,Angela,66,13,4.7,214,1.01,404,-1
15864,121,Hirtella_triandra,Chrysobalanaceae,Tree,23.5,Panama,Panama - BCI,9.15,-79.849,Angela,165,26.5,7.3,2542,4.51,2146,1
20367,139,Morus_boninensis,Moraceae,Tree,16,Japan,NA,26.65,142.133,Angela,230,23.4,3.1,1315,NA,NA,1
3175,173,Aquilegia_caerulea,Ranunculaceae,Herb,0.233,USA,Rockies,38.966,-106.987,Angela,2966,0.2,4,526,2.24,339,1
21747,116,Parashorea_malaanonan,Dipterocarpaceae,Tree,34,NA,NA,4.967,117.8,Angela,214,25.9,8.9,2315,4.51,2246,1
5003,82,Brackenridgea_nitida,Ochnaceae,Shrub/Tree,15,Fiji,abrambi,16.956,179.069,Laura,5,25.5,6.6,2462,4.26,1886,-1
26205,77,Richella_monosperma,Annonaceae,Tree,15,Fiji,aot,17.447,178.917,Laura,97,24.6,6.3,2660,4.5,1800,-1
32313,37,Xanthorrhoea_preissii,Xanthorrhoeaceae,Shrub,1.5,Australia,Perth - Darling Scarp,32.02,116.044,Angela,209,17,4.6,1003,1.93,708,-1
21013,126,Ocotea_meziana,Lauraceae,Tree,16,Costa Rica,NA,10.433,-83.983,Angela,50,26,7.6,3991,4.51,2132,1
18104,21,Leptospermum_continentale,Myrtaceae,Shrub,2.8,Australia,Adelaide - ferries,35.235,139.132,Angela,52,15.6,5.3,384,2.17,661,-1
2720,129,Ampelocera_hottlei,Ulmaceae,Tree,25,Mexico,Chajul,16.106,-90.987,Angela,41,25.9,6.9,3048,4.51,1809,1
12031,99,Eucalyptus_miniata,Myrtaceae,Tree,20,Australia,"Howard Springs, Darwin",12.494,131.108,Angela,26,27.3,6,1505,4.07,956,-1
15651,61,Heteropogon_triticeus,Poaceae,Herb,0.4,Australia,Townsville savanna,19.337,146.755,Angela,79,23.9,5.2,1027,4.14,1012,-1
8736,13,Coprosma_robusta,Rubiaceae,Shrub,6,New Zealand,Nelson,42,173,Angela,1650,4.2,4.4,2043,4.26,1102,-1
21930,220,Pedicularis_lapponica,Orobanchaceae,Herb,0.2,Greenland,disko island,69.25,-53.6,Angela,150,-5.7,1.8,305,1.01,32,1
25274,151,Quercus_calliprinos,Fagaceae,Shrub,3.5,Israel,Adulam,34.935,34.935,Angela,358,4.8,2.2,599,1.01,386,1
29888,30,Syncarpia_glomulifera,Myrtaceae,Tree,25,Australia,Kuringai - Diatreme,33.578,151.292,Angela,188,17,4.8,1307,4.51,1435,-1
89,158,Abies_veitchii,Pinaceae,Tree,18,Japan,NA,36.083,138.35,Angela,2090,2.4,2.6,2142,3.26,751,1
12090,23,Eucalyptus_sp4,Myrtaceae,Tree,10,Australia,Adelaide - Brookfield Chenopod,34.347,139.517,Angela,99,16.2,5.1,276,2.14,773,-1
3646,79,Ascarina_swamyana,Chloranthaceae,Tree,10,Fiji,at,17.329,178.983,Laura,2,25.2,6.4,2576,4.5,1800,-1
25068,34,Pteronia_pallens,Asteraceae,NA,0.5,South Africa,NA,33.167,22.283,Angela,732,15.7,5.6,281,1.26,255,-1
29156,94,Sorocea_pileata,Moraceae,Tree,19,Peru,Los Amigos floodplain,12.567,-70.093,Angela,217,24.9,7.4,3273,4.26,1475,-1
9641,65,Cyathocalyx_insularis,Annonaceae,Tree,20,Fiji,ak,18.383,178.142,Laura,30,24.6,6.1,2674,4.26,1795,-1
18176,31,Leucadendron_corymbosum,Proteaceae,Shrub,3,South Africa,Stellenbosch - renosterveld,33.448,19.048,Angela,89,17.9,5.3,583,1.51,633,-1
